publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,principal_offence_id,jurisdiction_id,court_level_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_principal_offence,raw_jurisdiction,raw_court_level,raw_classification_context
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_14_TRAFFIC_AND_VEHICLE_REGULATORY_OFFENCES,NSW,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,98,observed,98,sha256:bd6ff28f3da92133cdd82f143d77cfdf72be6d9e1be9eeb8a00bf3199259e476,Table 20,R32C10,sha256:d316329929ef246e36bce411f6729968216b98bd8daaaee77f8366e71016c05a,criminal-courts-australia,sha256:9355bbfba86ca5907ea0f173e446287c7661cc657d0686485de7ec2f6bfa8c36,tidy.table-family-acceptance/v1,sha256:c50dae609eee4ef2d85e2aefe74017c46ae3a4fd33781184b7b77e3468168244,sha256:f05c63d20dc0d82682ebd502060f8245e367ca68b6f2d48be7d5a91b08caef84,sha256:68eb10572b371a58d7284fd4086b5d2fbbaf89d4a3b6c0840221c979dd9bc194,human-authored/deterministic-map-v1,replay:sha256:69cc62654a83db117c21ec7a1496a4845dfe640de703f8880066fdc340c4aa09,Adjudicated outcomes,Method of finalisation,2020–21,14 Traffic & vehicle regulatory offences,"Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22","Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22","Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_TOTAL,NSW,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,5052,observed,5052,sha256:bd6ff28f3da92133cdd82f143d77cfdf72be6d9e1be9eeb8a00bf3199259e476,Table 20,R32C11,sha256:d316329929ef246e36bce411f6729968216b98bd8daaaee77f8366e71016c05a,criminal-courts-australia,sha256:9355bbfba86ca5907ea0f173e446287c7661cc657d0686485de7ec2f6bfa8c36,tidy.table-family-acceptance/v1,sha256:c50dae609eee4ef2d85e2aefe74017c46ae3a4fd33781184b7b77e3468168244,sha256:f05c63d20dc0d82682ebd502060f8245e367ca68b6f2d48be7d5a91b08caef84,sha256:68eb10572b371a58d7284fd4086b5d2fbbaf89d4a3b6c0840221c979dd9bc194,human-authored/deterministic-map-v1,replay:sha256:69cc62654a83db117c21ec7a1496a4845dfe640de703f8880066fdc340c4aa09,Adjudicated outcomes,Method of finalisation,2020–21,Total,"Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22","Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22","Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_COMMUNITY_SUPERVISION_WORK_ORDERS,GROUP_NON_CUSTODIAL_ORDERS,2021-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,NSW,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,319,observed,319,sha256:bd6ff28f3da92133cdd82f143d77cfdf72be6d9e1be9eeb8a00bf3199259e476,Table 20,R49C2,sha256:d316329929ef246e36bce411f6729968216b98bd8daaaee77f8366e71016c05a,criminal-courts-australia,sha256:9355bbfba86ca5907ea0f173e446287c7661cc657d0686485de7ec2f6bfa8c36,tidy.table-family-acceptance/v1,sha256:c50dae609eee4ef2d85e2aefe74017c46ae3a4fd33781184b7b77e3468168244,sha256:f05c63d20dc0d82682ebd502060f8245e367ca68b6f2d48be7d5a91b08caef84,sha256:68eb10572b371a58d7284fd4086b5d2fbbaf89d4a3b6c0840221c979dd9bc194,human-authored/deterministic-map-v1,replay:sha256:69cc62654a83db117c21ec7a1496a4845dfe640de703f8880066fdc340c4aa09,Community supervision/work orders,Non-custodial orders,2020–21,02 Acts intended to cause injury,"Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22","Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22","Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_COMMUNITY_SUPERVISION_WORK_ORDERS,GROUP_NON_CUSTODIAL_ORDERS,2021-06-30,OFFENCE_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,NSW,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,45,observed,45,sha256:bd6ff28f3da92133cdd82f143d77cfdf72be6d9e1be9eeb8a00bf3199259e476,Table 20,R49C3,sha256:d316329929ef246e36bce411f6729968216b98bd8daaaee77f8366e71016c05a,criminal-courts-australia,sha256:9355bbfba86ca5907ea0f173e446287c7661cc657d0686485de7ec2f6bfa8c36,tidy.table-family-acceptance/v1,sha256:c50dae609eee4ef2d85e2aefe74017c46ae3a4fd33781184b7b77e3468168244,sha256:f05c63d20dc0d82682ebd502060f8245e367ca68b6f2d48be7d5a91b08caef84,sha256:68eb10572b371a58d7284fd4086b5d2fbbaf89d4a3b6c0840221c979dd9bc194,human-authored/deterministic-map-v1,replay:sha256:69cc62654a83db117c21ec7a1496a4845dfe640de703f8880066fdc340c4aa09,Community supervision/work orders,Non-custodial orders,2020–21,03 Sexual assault & related offences,"Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22","Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22","Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_COMMUNITY_SUPERVISION_WORK_ORDERS,GROUP_NON_CUSTODIAL_ORDERS,2021-06-30,OFFENCE_04_DANGEROUS_NEGLIGENT_ACTS,NSW,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,46,observed,46,sha256:bd6ff28f3da92133cdd82f143d77cfdf72be6d9e1be9eeb8a00bf3199259e476,Table 20,R49C4,sha256:d316329929ef246e36bce411f6729968216b98bd8daaaee77f8366e71016c05a,criminal-courts-australia,sha256:9355bbfba86ca5907ea0f173e446287c7661cc657d0686485de7ec2f6bfa8c36,tidy.table-family-acceptance/v1,sha256:c50dae609eee4ef2d85e2aefe74017c46ae3a4fd33781184b7b77e3468168244,sha256:f05c63d20dc0d82682ebd502060f8245e367ca68b6f2d48be7d5a91b08caef84,sha256:68eb10572b371a58d7284fd4086b5d2fbbaf89d4a3b6c0840221c979dd9bc194,human-authored/deterministic-map-v1,replay:sha256:69cc62654a83db117c21ec7a1496a4845dfe640de703f8880066fdc340c4aa09,Community supervision/work orders,Non-custodial orders,2020–21,04 Dangerous/ negligent acts,"Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22","Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22","Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_COMMUNITY_SUPERVISION_WORK_ORDERS,GROUP_NON_CUSTODIAL_ORDERS,2021-06-30,OFFENCE_06_ROBBERY_EXTORTION,NSW,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,167,observed,167,sha256:bd6ff28f3da92133cdd82f143d77cfdf72be6d9e1be9eeb8a00bf3199259e476,Table 20,R49C5,sha256:d316329929ef246e36bce411f6729968216b98bd8daaaee77f8366e71016c05a,criminal-courts-australia,sha256:9355bbfba86ca5907ea0f173e446287c7661cc657d0686485de7ec2f6bfa8c36,tidy.table-family-acceptance/v1,sha256:c50dae609eee4ef2d85e2aefe74017c46ae3a4fd33781184b7b77e3468168244,sha256:f05c63d20dc0d82682ebd502060f8245e367ca68b6f2d48be7d5a91b08caef84,sha256:68eb10572b371a58d7284fd4086b5d2fbbaf89d4a3b6c0840221c979dd9bc194,human-authored/deterministic-map-v1,replay:sha256:69cc62654a83db117c21ec7a1496a4845dfe640de703f8880066fdc340c4aa09,Community supervision/work orders,Non-custodial orders,2020–21,06 Robbery/ extortion,"Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22","Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22","Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_COMMUNITY_SUPERVISION_WORK_ORDERS,GROUP_NON_CUSTODIAL_ORDERS,2021-06-30,OFFENCE_07_UNLAWFUL_ENTRY_WITH_INTENT,NSW,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,95,observed,95,sha256:bd6ff28f3da92133cdd82f143d77cfdf72be6d9e1be9eeb8a00bf3199259e476,Table 20,R49C6,sha256:d316329929ef246e36bce411f6729968216b98bd8daaaee77f8366e71016c05a,criminal-courts-australia,sha256:9355bbfba86ca5907ea0f173e446287c7661cc657d0686485de7ec2f6bfa8c36,tidy.table-family-acceptance/v1,sha256:c50dae609eee4ef2d85e2aefe74017c46ae3a4fd33781184b7b77e3468168244,sha256:f05c63d20dc0d82682ebd502060f8245e367ca68b6f2d48be7d5a91b08caef84,sha256:68eb10572b371a58d7284fd4086b5d2fbbaf89d4a3b6c0840221c979dd9bc194,human-authored/deterministic-map-v1,replay:sha256:69cc62654a83db117c21ec7a1496a4845dfe640de703f8880066fdc340c4aa09,Community supervision/work orders,Non-custodial orders,2020–21,07 Unlawful entry with intent,"Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22","Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22","Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_COMMUNITY_SUPERVISION_WORK_ORDERS,GROUP_NON_CUSTODIAL_ORDERS,2021-06-30,OFFENCE_08_THEFT,NSW,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,69,observed,69,sha256:bd6ff28f3da92133cdd82f143d77cfdf72be6d9e1be9eeb8a00bf3199259e476,Table 20,R49C7,sha256:d316329929ef246e36bce411f6729968216b98bd8daaaee77f8366e71016c05a,criminal-courts-australia,sha256:9355bbfba86ca5907ea0f173e446287c7661cc657d0686485de7ec2f6bfa8c36,tidy.table-family-acceptance/v1,sha256:c50dae609eee4ef2d85e2aefe74017c46ae3a4fd33781184b7b77e3468168244,sha256:f05c63d20dc0d82682ebd502060f8245e367ca68b6f2d48be7d5a91b08caef84,sha256:68eb10572b371a58d7284fd4086b5d2fbbaf89d4a3b6c0840221c979dd9bc194,human-authored/deterministic-map-v1,replay:sha256:69cc62654a83db117c21ec7a1496a4845dfe640de703f8880066fdc340c4aa09,Community supervision/work orders,Non-custodial orders,2020–21,08 Theft,"Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22","Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22","Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_COMMUNITY_SUPERVISION_WORK_ORDERS,GROUP_NON_CUSTODIAL_ORDERS,2021-06-30,OFFENCE_12_PROPERTY_DAMAGE_AND_ENVIRONMENTAL_POLLUTION,NSW,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,22,observed,22,sha256:bd6ff28f3da92133cdd82f143d77cfdf72be6d9e1be9eeb8a00bf3199259e476,Table 20,R49C8,sha256:d316329929ef246e36bce411f6729968216b98bd8daaaee77f8366e71016c05a,criminal-courts-australia,sha256:9355bbfba86ca5907ea0f173e446287c7661cc657d0686485de7ec2f6bfa8c36,tidy.table-family-acceptance/v1,sha256:c50dae609eee4ef2d85e2aefe74017c46ae3a4fd33781184b7b77e3468168244,sha256:f05c63d20dc0d82682ebd502060f8245e367ca68b6f2d48be7d5a91b08caef84,sha256:68eb10572b371a58d7284fd4086b5d2fbbaf89d4a3b6c0840221c979dd9bc194,human-authored/deterministic-map-v1,replay:sha256:69cc62654a83db117c21ec7a1496a4845dfe640de703f8880066fdc340c4aa09,Community supervision/work orders,Non-custodial orders,2020–21,12 Property damage & environmental pollution,"Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22","Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22","Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_COMMUNITY_SUPERVISION_WORK_ORDERS,GROUP_NON_CUSTODIAL_ORDERS,2021-06-30,OFFENCE_13_PUBLIC_ORDER_OFFENCES,NSW,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,84,observed,84,sha256:bd6ff28f3da92133cdd82f143d77cfdf72be6d9e1be9eeb8a00bf3199259e476,Table 20,R49C9,sha256:d316329929ef246e36bce411f6729968216b98bd8daaaee77f8366e71016c05a,criminal-courts-australia,sha256:9355bbfba86ca5907ea0f173e446287c7661cc657d0686485de7ec2f6bfa8c36,tidy.table-family-acceptance/v1,sha256:c50dae609eee4ef2d85e2aefe74017c46ae3a4fd33781184b7b77e3468168244,sha256:f05c63d20dc0d82682ebd502060f8245e367ca68b6f2d48be7d5a91b08caef84,sha256:68eb10572b371a58d7284fd4086b5d2fbbaf89d4a3b6c0840221c979dd9bc194,human-authored/deterministic-map-v1,replay:sha256:69cc62654a83db117c21ec7a1496a4845dfe640de703f8880066fdc340c4aa09,Community supervision/work orders,Non-custodial orders,2020–21,13 Public order offences,"Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22","Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22","Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_COMMUNITY_SUPERVISION_WORK_ORDERS,GROUP_NON_CUSTODIAL_ORDERS,2021-06-30,OFFENCE_14_TRAFFIC_AND_VEHICLE_REGULATORY_OFFENCES,NSW,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,7,observed,7,sha256:bd6ff28f3da92133cdd82f143d77cfdf72be6d9e1be9eeb8a00bf3199259e476,Table 20,R49C10,sha256:d316329929ef246e36bce411f6729968216b98bd8daaaee77f8366e71016c05a,criminal-courts-australia,sha256:9355bbfba86ca5907ea0f173e446287c7661cc657d0686485de7ec2f6bfa8c36,tidy.table-family-acceptance/v1,sha256:c50dae609eee4ef2d85e2aefe74017c46ae3a4fd33781184b7b77e3468168244,sha256:f05c63d20dc0d82682ebd502060f8245e367ca68b6f2d48be7d5a91b08caef84,sha256:68eb10572b371a58d7284fd4086b5d2fbbaf89d4a3b6c0840221c979dd9bc194,human-authored/deterministic-map-v1,replay:sha256:69cc62654a83db117c21ec7a1496a4845dfe640de703f8880066fdc340c4aa09,Community supervision/work orders,Non-custodial orders,2020–21,14 Traffic & vehicle regulatory offences,"Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22","Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22","Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_COMMUNITY_SUPERVISION_WORK_ORDERS,GROUP_NON_CUSTODIAL_ORDERS,2021-06-30,OFFENCE_TOTAL,NSW,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,922,observed,922,sha256:bd6ff28f3da92133cdd82f143d77cfdf72be6d9e1be9eeb8a00bf3199259e476,Table 20,R49C11,sha256:d316329929ef246e36bce411f6729968216b98bd8daaaee77f8366e71016c05a,criminal-courts-australia,sha256:9355bbfba86ca5907ea0f173e446287c7661cc657d0686485de7ec2f6bfa8c36,tidy.table-family-acceptance/v1,sha256:c50dae609eee4ef2d85e2aefe74017c46ae3a4fd33781184b7b77e3468168244,sha256:f05c63d20dc0d82682ebd502060f8245e367ca68b6f2d48be7d5a91b08caef84,sha256:68eb10572b371a58d7284fd4086b5d2fbbaf89d4a3b6c0840221c979dd9bc194,human-authored/deterministic-map-v1,replay:sha256:69cc62654a83db117c21ec7a1496a4845dfe640de703f8880066fdc340c4aa09,Community supervision/work orders,Non-custodial orders,2020–21,Total,"Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22","Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22","Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,GROUP_CUSTODIAL_ORDERS,2021-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,NSW,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,58,observed,58,sha256:bd6ff28f3da92133cdd82f143d77cfdf72be6d9e1be9eeb8a00bf3199259e476,Table 20,R44C2,sha256:d316329929ef246e36bce411f6729968216b98bd8daaaee77f8366e71016c05a,criminal-courts-australia,sha256:9355bbfba86ca5907ea0f173e446287c7661cc657d0686485de7ec2f6bfa8c36,tidy.table-family-acceptance/v1,sha256:c50dae609eee4ef2d85e2aefe74017c46ae3a4fd33781184b7b77e3468168244,sha256:f05c63d20dc0d82682ebd502060f8245e367ca68b6f2d48be7d5a91b08caef84,sha256:68eb10572b371a58d7284fd4086b5d2fbbaf89d4a3b6c0840221c979dd9bc194,human-authored/deterministic-map-v1,replay:sha256:69cc62654a83db117c21ec7a1496a4845dfe640de703f8880066fdc340c4aa09,Custody in a correctional institution,Custodial orders,2020–21,02 Acts intended to cause injury,"Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22","Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22","Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,GROUP_CUSTODIAL_ORDERS,2021-06-30,OFFENCE_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,NSW,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,13,observed,13,sha256:bd6ff28f3da92133cdd82f143d77cfdf72be6d9e1be9eeb8a00bf3199259e476,Table 20,R44C3,sha256:d316329929ef246e36bce411f6729968216b98bd8daaaee77f8366e71016c05a,criminal-courts-australia,sha256:9355bbfba86ca5907ea0f173e446287c7661cc657d0686485de7ec2f6bfa8c36,tidy.table-family-acceptance/v1,sha256:c50dae609eee4ef2d85e2aefe74017c46ae3a4fd33781184b7b77e3468168244,sha256:f05c63d20dc0d82682ebd502060f8245e367ca68b6f2d48be7d5a91b08caef84,sha256:68eb10572b371a58d7284fd4086b5d2fbbaf89d4a3b6c0840221c979dd9bc194,human-authored/deterministic-map-v1,replay:sha256:69cc62654a83db117c21ec7a1496a4845dfe640de703f8880066fdc340c4aa09,Custody in a correctional institution,Custodial orders,2020–21,03 Sexual assault & related offences,"Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22","Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22","Table 20 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – New South Wales, 2020–21 to 2021–22"
