publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,principal_offence_id,jurisdiction_id,court_level_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_principal_offence,raw_jurisdiction,raw_court_level,raw_classification_context
2025-06-30,2024-06-30,CHAR_GUILTY_FINDING_BY_COURT,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_05_ROBBERY_BLACKMAIL_AND_EXTORTION,VIC,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,3,observed,3,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 31,R35C6,sha256:7ac917cfb1407d1c283e238ff3da89ff5bcfe8cc1c8d3e00129cc1dfb3cbcaa3,criminal-courts-australia,sha256:5c0bd725c0b5f29f33779cc6adf6b86af49fa9f60b34ee0a4c98b96ef26d424c,tidy.table-family-acceptance/v1,sha256:14ce7fe7f53d129f48af41bac308ae4ca4b1c346faa3ac0bd5a35c583ff274b6,sha256:ab8af6505158a17474d55055cd412cb01a3969789b8f3004728604ef1c1807e5,sha256:ed02aa3d358336c5d6165a22ff40b206c1078737b855a945599f76d6fe047b7a,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Guilty finding by court,Method of finalisation,2023–24,"05 Robbery, blackmail, and extortion","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_GUILTY_FINDING_BY_COURT,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_06_BURGLARY,VIC,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,3,observed,3,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 31,R35C7,sha256:7ac917cfb1407d1c283e238ff3da89ff5bcfe8cc1c8d3e00129cc1dfb3cbcaa3,criminal-courts-australia,sha256:5c0bd725c0b5f29f33779cc6adf6b86af49fa9f60b34ee0a4c98b96ef26d424c,tidy.table-family-acceptance/v1,sha256:14ce7fe7f53d129f48af41bac308ae4ca4b1c346faa3ac0bd5a35c583ff274b6,sha256:ab8af6505158a17474d55055cd412cb01a3969789b8f3004728604ef1c1807e5,sha256:ed02aa3d358336c5d6165a22ff40b206c1078737b855a945599f76d6fe047b7a,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Guilty finding by court,Method of finalisation,2023–24,06 Burglary,"Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_GUILTY_FINDING_BY_COURT,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_07_THEFT,VIC,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,22,observed,22,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 31,R35C8,sha256:7ac917cfb1407d1c283e238ff3da89ff5bcfe8cc1c8d3e00129cc1dfb3cbcaa3,criminal-courts-australia,sha256:5c0bd725c0b5f29f33779cc6adf6b86af49fa9f60b34ee0a4c98b96ef26d424c,tidy.table-family-acceptance/v1,sha256:14ce7fe7f53d129f48af41bac308ae4ca4b1c346faa3ac0bd5a35c583ff274b6,sha256:ab8af6505158a17474d55055cd412cb01a3969789b8f3004728604ef1c1807e5,sha256:ed02aa3d358336c5d6165a22ff40b206c1078737b855a945599f76d6fe047b7a,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Guilty finding by court,Method of finalisation,2023–24,07 Theft,"Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_GUILTY_FINDING_BY_COURT,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_08_FRAUD_AND_RELATED_OFFENCES,VIC,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,19,observed,19,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 31,R35C9,sha256:7ac917cfb1407d1c283e238ff3da89ff5bcfe8cc1c8d3e00129cc1dfb3cbcaa3,criminal-courts-australia,sha256:5c0bd725c0b5f29f33779cc6adf6b86af49fa9f60b34ee0a4c98b96ef26d424c,tidy.table-family-acceptance/v1,sha256:14ce7fe7f53d129f48af41bac308ae4ca4b1c346faa3ac0bd5a35c583ff274b6,sha256:ab8af6505158a17474d55055cd412cb01a3969789b8f3004728604ef1c1807e5,sha256:ed02aa3d358336c5d6165a22ff40b206c1078737b855a945599f76d6fe047b7a,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Guilty finding by court,Method of finalisation,2023–24,08 Fraud and related offences,"Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_GUILTY_FINDING_BY_COURT,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_09_DRUG_OFFENCES,VIC,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,25,observed,25,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 31,R35C10,sha256:7ac917cfb1407d1c283e238ff3da89ff5bcfe8cc1c8d3e00129cc1dfb3cbcaa3,criminal-courts-australia,sha256:5c0bd725c0b5f29f33779cc6adf6b86af49fa9f60b34ee0a4c98b96ef26d424c,tidy.table-family-acceptance/v1,sha256:14ce7fe7f53d129f48af41bac308ae4ca4b1c346faa3ac0bd5a35c583ff274b6,sha256:ab8af6505158a17474d55055cd412cb01a3969789b8f3004728604ef1c1807e5,sha256:ed02aa3d358336c5d6165a22ff40b206c1078737b855a945599f76d6fe047b7a,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Guilty finding by court,Method of finalisation,2023–24,09 Drug offences,"Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_GUILTY_FINDING_BY_COURT,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_10_WEAPONS_AND_EXPLOSIVES_OFFENCES,VIC,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,23,observed,23,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 31,R35C11,sha256:7ac917cfb1407d1c283e238ff3da89ff5bcfe8cc1c8d3e00129cc1dfb3cbcaa3,criminal-courts-australia,sha256:5c0bd725c0b5f29f33779cc6adf6b86af49fa9f60b34ee0a4c98b96ef26d424c,tidy.table-family-acceptance/v1,sha256:14ce7fe7f53d129f48af41bac308ae4ca4b1c346faa3ac0bd5a35c583ff274b6,sha256:ab8af6505158a17474d55055cd412cb01a3969789b8f3004728604ef1c1807e5,sha256:ed02aa3d358336c5d6165a22ff40b206c1078737b855a945599f76d6fe047b7a,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Guilty finding by court,Method of finalisation,2023–24,10 Weapons and explosives offences,"Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_GUILTY_FINDING_BY_COURT,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_11_PROPERTY_DAMAGE,VIC,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,19,observed,19,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 31,R35C12,sha256:7ac917cfb1407d1c283e238ff3da89ff5bcfe8cc1c8d3e00129cc1dfb3cbcaa3,criminal-courts-australia,sha256:5c0bd725c0b5f29f33779cc6adf6b86af49fa9f60b34ee0a4c98b96ef26d424c,tidy.table-family-acceptance/v1,sha256:14ce7fe7f53d129f48af41bac308ae4ca4b1c346faa3ac0bd5a35c583ff274b6,sha256:ab8af6505158a17474d55055cd412cb01a3969789b8f3004728604ef1c1807e5,sha256:ed02aa3d358336c5d6165a22ff40b206c1078737b855a945599f76d6fe047b7a,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Guilty finding by court,Method of finalisation,2023–24,11 Property damage,"Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_GUILTY_FINDING_BY_COURT,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_12_PUBLIC_ORDER_HEALTH_AND_SAFETY_OFFENCES,VIC,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,24,observed,24,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 31,R35C13,sha256:7ac917cfb1407d1c283e238ff3da89ff5bcfe8cc1c8d3e00129cc1dfb3cbcaa3,criminal-courts-australia,sha256:5c0bd725c0b5f29f33779cc6adf6b86af49fa9f60b34ee0a4c98b96ef26d424c,tidy.table-family-acceptance/v1,sha256:14ce7fe7f53d129f48af41bac308ae4ca4b1c346faa3ac0bd5a35c583ff274b6,sha256:ab8af6505158a17474d55055cd412cb01a3969789b8f3004728604ef1c1807e5,sha256:ed02aa3d358336c5d6165a22ff40b206c1078737b855a945599f76d6fe047b7a,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Guilty finding by court,Method of finalisation,2023–24,"12 Public order, health, and safety offences","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_GUILTY_FINDING_BY_COURT,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_13_TRAFFIC_AND_VEHICLE_OFFENCES,VIC,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,613,observed,613,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 31,R35C14,sha256:7ac917cfb1407d1c283e238ff3da89ff5bcfe8cc1c8d3e00129cc1dfb3cbcaa3,criminal-courts-australia,sha256:5c0bd725c0b5f29f33779cc6adf6b86af49fa9f60b34ee0a4c98b96ef26d424c,tidy.table-family-acceptance/v1,sha256:14ce7fe7f53d129f48af41bac308ae4ca4b1c346faa3ac0bd5a35c583ff274b6,sha256:ab8af6505158a17474d55055cd412cb01a3969789b8f3004728604ef1c1807e5,sha256:ed02aa3d358336c5d6165a22ff40b206c1078737b855a945599f76d6fe047b7a,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Guilty finding by court,Method of finalisation,2023–24,13 Traffic and vehicle offences,"Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_GUILTY_FINDING_BY_COURT,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_14_OFFENCES_AGAINST_JUSTICE_PROCEDURES_AND_ORDERS,VIC,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,147,observed,147,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 31,R35C15,sha256:7ac917cfb1407d1c283e238ff3da89ff5bcfe8cc1c8d3e00129cc1dfb3cbcaa3,criminal-courts-australia,sha256:5c0bd725c0b5f29f33779cc6adf6b86af49fa9f60b34ee0a4c98b96ef26d424c,tidy.table-family-acceptance/v1,sha256:14ce7fe7f53d129f48af41bac308ae4ca4b1c346faa3ac0bd5a35c583ff274b6,sha256:ab8af6505158a17474d55055cd412cb01a3969789b8f3004728604ef1c1807e5,sha256:ed02aa3d358336c5d6165a22ff40b206c1078737b855a945599f76d6fe047b7a,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Guilty finding by court,Method of finalisation,2023–24,14 Offences against justice procedures and orders(b),"Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_GUILTY_FINDING_BY_COURT,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_15_OFFENCES_AGAINST_GOVERNMENT,VIC,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,18,observed,18,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 31,R35C16,sha256:7ac917cfb1407d1c283e238ff3da89ff5bcfe8cc1c8d3e00129cc1dfb3cbcaa3,criminal-courts-australia,sha256:5c0bd725c0b5f29f33779cc6adf6b86af49fa9f60b34ee0a4c98b96ef26d424c,tidy.table-family-acceptance/v1,sha256:14ce7fe7f53d129f48af41bac308ae4ca4b1c346faa3ac0bd5a35c583ff274b6,sha256:ab8af6505158a17474d55055cd412cb01a3969789b8f3004728604ef1c1807e5,sha256:ed02aa3d358336c5d6165a22ff40b206c1078737b855a945599f76d6fe047b7a,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Guilty finding by court,Method of finalisation,2023–24,15 Offences against government,"Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_GUILTY_FINDING_BY_COURT,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_16_ENVIRONMENTAL_OFFENCES,VIC,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,11,observed,11,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 31,R35C17,sha256:7ac917cfb1407d1c283e238ff3da89ff5bcfe8cc1c8d3e00129cc1dfb3cbcaa3,criminal-courts-australia,sha256:5c0bd725c0b5f29f33779cc6adf6b86af49fa9f60b34ee0a4c98b96ef26d424c,tidy.table-family-acceptance/v1,sha256:14ce7fe7f53d129f48af41bac308ae4ca4b1c346faa3ac0bd5a35c583ff274b6,sha256:ab8af6505158a17474d55055cd412cb01a3969789b8f3004728604ef1c1807e5,sha256:ed02aa3d358336c5d6165a22ff40b206c1078737b855a945599f76d6fe047b7a,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Guilty finding by court,Method of finalisation,2023–24,16 Environmental offences,"Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25"
